date,surface,model,effort,input_tokens,output_tokens,tool_calls,attachments,turn_pos,cache_state,tokens_measured,pct_session,pct_week,baseline_id,notes
2026-08-22,code,opus-5,high,195358868,471481,,2876,427,warm,868072,,,watch-viii-full,"ИТОГОВАЯ строка вахты VIII (закрывает сессию; строка watch-viii-synthesis — её промежуточный срез в 12:00). ЛОГ 2de60c0b, канарейка --selftest ЗЕЛЁНАЯ до замера. Дедуп по message.id: 929 записей -> 427 реплик (x2.18). CLI в логе 2.1.238, установлен 2.1.239 (обновился после записи). Охват лога 12ч 52м. Контекст макс 868072, медиана 474743, прирост 1902 ток/ход. КОМПАКТА НЕ БЫЛО: системных маркеров compact_boundary 0 (грубый grep дал 11 совпадений — все текстовые упоминания в содержимом, проверено построчным парсингом JSON). Кэш: read 193711271 / creation 1646743 = hit 99.2%; TTL 1ч 1646743, 5мин 0. Некэшированный вход за всю сессию 854. Выход 471481, thinking 101868 = 21.6% (было 21.8% в 12:00 — держится). ЦЕНА ХОДА: 11549 -> 91051, рост x7.9 на 25000..850000; на сопоставимом с 12:00 диапазоне 25000..700000 — x6.6 против x6.4. Плато НЕ достигнуто. 🔴 cache_creation/реплику УПАЛ до 3856 средн., в сегменте после 12:00 — 2075/реплику против 4255: монотонный тренд 2550->3418->4255 ОПРОВЕРГНУТ внутрисессионной волатильностью x2. Бакет 650K заморожен на 157935 — новых ходов в это окно не попадало, аномалия историческая. СУБАГЕНТЫ: isSidechain в логе родителя 0 (4-е подтверждение изоляции), НО на диске лежат 4 отдельных лога в projects/<sid>/subagents/ — расход субагентов ИЗМЕРИМ, просто не из родительского лога."
2026-08-22,code,opus-5,high,265229643,570665,,3486,526,warm,997372,,,syn-viii-full,"лог 2de60c0b: 526 ходов, макс контекст 997372, hit 99.3%, TTL 1ч/5м=1972673/0. КОМПАКТ auto 11:30:55 999944->18597 за 130с, preserved 7. Предрегистрация: П1 П2 П7 сбылись, П4 (27 сообщений) промах x3.9, П5 (прирост выше) опровергнут — 1300 против 1348, П6 (втрое дешевле) занижен — фактически x10.8. ГЛАВНОЕ: простой >1ч = полное пересоздание префикса, 2 события на 799104 ток = 40% всего creation за сессию"
2026-08-22,code,opus-5,high,299691116,734087,,4338,665,warm,997372,,,syn-viii-evening,"лог 2de60c0b, вечерний срез: 665 ходов (+138 к утреннему), hit 99.2%, TTL 1ч/5м=2269597/0, некэшированный вход 1330. ВТОРОГО КОМПАКТА НЕТ. Цена хода 11549->102234 на 25K->975K = x8.9 (утренние x5.2-x6.4 были верны в СВОИХ диапазонах, 28 §10б). Бакет-аномалия 650K=157935 не сдвинулась за 138 ходов — подтверждает заморозку пройденного бакета. СУБАГЕНТЫ: 8 собственных логов, суммарно read 2465542 / create 272150 / output 11831 — в родительском логе 0 записей isSidechain, т.е. сумма сессии занижена на эту величину. ГЛАВНОЕ: /login РАЗВЕДЁН с простоем — 2 хода после /login дали cache_read=16900 при паузах 8 и 3 мин, то есть внутри TTL; кэш сбрасывает именно /login. Структурный поиск дал 3 команды против 25 текстовых."
2026-08-22,code,opus-5,high,346769868,856323,,4909,760,warm,997372,,,syn-viii-login,"ЕСТЕСТВЕННЫЙ ЭКСПЕРИМЕНТ /login на большом контексте. Владелец сменил аккаунт в 14:39:12 UTC при контексте 602011. Предсказание из hypothesis (cache_read упадёт до 16900) проверялось ВСЛЕПУЮ на диапазоне, где раньше не наблюдалось. СБЫЛОСЬ: первый ход после (14:39:45) дал cache_creation=565150, cache_read=16900. Три точки: 92K->49071, 92K->83264, 602K->565150 — цена /login ~= текущий контекст. МЕХАНИЗМ [расч]: ключ кэша = префикс + личность запроса; смена учётки делает записи кэша недоступными (изоляция). ПОПРАВКА: настоящих /login за сессию 3, а не 3 из прежней записи — точка 13:17:15 была ассистентским текстом, не командой (SYN-032 повторно). accountUuid в логе с таймстампами ОТСУТСТВУЕТ — смену учётки логом доказать нельзя, доказано следствие."
2026-08-22,code,opus-5,high,383689 004,917807,,5262,818,warm,997372,,,syn-viii-observer-cost,"818 ходов, hit 99.2%, TTL 1ч/5м=3128875/0, некэшированный вход 1636, компакт по-прежнему один. ГЛАВНОЕ: 8 логов субагентов дали read 4225313 / create 390545 / output 12004. Из них ЧЕТЫРЕ прогона token-probe = read 2792293 (66%): 285410, 461330 (упал на лимите), 1030559, 1014994. Замерщик стоит дороже измеряемого. Решение: числа снимать скриптом session_metrics.py напрямую, агента звать только под разбор незнакомого. Этот замер сделан скриптом — цена ~0."
2026-08-22,code,opus-5,high,,,,,,,,,,syn-viii-clear,"/clear ПРОТИВ КОМПАКТА. Три сброса ведут в одну точку (cache_read -> 16900), платят за разное: /clear отбрасывает не читая; компакт читает весь диалог ради сводки (130 с, цена в лог НЕ пишется); /login пересоздаёт префикс (565150 на 602011). Структурно /clear не дороже компакта. 🔴 ЧИСЛА ДЛЯ /clear НЕТ [ДН]: единственный /clear за сессию случился ДО первого хода ассистента, наблюдаемые 12937 — цена сборки начального префикса, а не очистки рабочего контекста. Нужен /clear на контексте >=300K. Ошибка поймана ДО записи: сравнительная таблица трёх чисел была неверна не в числах, а в основании — несопоставимые контексты (28 §10а)."
2026-08-22,code,opus-5,high,401104205,954894,,5402,843,warm,997372,,,synthesis-watch-viii-final,"ФИНАЛЬНЫЙ СРЕЗ ВАХТЫ VIII. 843 хода, одна модель и один effort за всю сессию (opus-5/high). hit 99.2%, TTL 1ч/5м=3180700/0, некэшированный вход 1686 на 843 хода. Компакт ОДИН (auto, 11:30:55, 999944->18597, 130 с, preserved 7) — второго не было за 343 хода после. Доля thinking 21% устойчива на трёх срезах (349/760/843 реплик). Субагентов 8 логов: read 4225313, из них token-probe 2792293 (66%). ЗАКРЫТО ЗА СЕССИЮ: /login сбрасывает кэш (3 точки, цена ~= контекст, на 602K = 565150); простой >1ч = полное пересоздание префикса; предрегистрация компакта разобрана (4 из 7 предсказаний не сбылись); цена наблюдения измерена впервые. НЕ ЗАКРЫТО: /clear на рабочем контексте [ДН], цена компакции [ДН], множители моделей и effort [ДН] — сессия одна точка по обоим."
2026-08-22,code,opus-5,high,16267572,90240,,516,126,warm,208962,,,watch-ix-capture-kit,"ВАХТА IX, первая сессия целиком под правилом «агент — только под суждение». 126 ходов, opus-5/high без смены. hit 97.7%, TTL 1ч/5м=377711/0, некэшированный вход за сессию 251 (~2 ток/ход). Компактов 0, падений контекста 0, макс 208962, медиана 138059, прирост 1363 ток/ход. Цена хода 10083 -> 23467 усл.ед. на 25K->200K (x2.3). Записей субагентов 0 — срез снят session_metrics.py напрямую, замер стоил ~0 против 500K-1M за token-probe. 🔴 ИСПРАВЛЕНО: первая редакция строки была снята по УСТАРЕВШЕМУ логу 2020e9b2 (106 ходов, макс 180764, hit 98.7%) — сессия писалась в два файла с разными sessionId, скрипт выбрал не тот. Разбор — PIT-118."
2026-08-23,code,opus-5,high,280930728,467457,,4099,717,warm,711181,,,watch-ix-auto-long,"ВАХТА IX, авто-режим 3.5 часа, 26 батчей (v2.51 -> v2.76). 717 ходов, opus-5/high без смены. hit 99.4%, cache_read 280 025 750, creation 1 614 728, TTL 1ч/5м=1614728/0. Некэшированный вход за ВСЮ сессию 1 431 (~2 ток/ход). Компактов 0. Падение контекста 1 — ход 122, 202671 -> 0, БЕЗ маркера compact_boundary = рестарт сессии (/login владельца), не компакция. Прирост 890 ток/ход, макс 711 181, медиана 399 450. Цена хода 10 083 -> 72 829 усл.ед. на 25K->700K, рост x7.2. Записей субагентов 0 — агенты не звались, срез снят скриптом. thinking 105 501 из 467 457 выхода (23%)."
2026-08-23,code,opus-5,high,451619939,583737,,5306,926,warm,903594,,,watch-ix-full-night,"ВАХТА IX, полная ночь: 926 ходов, opus-5/high без смены. hit 99.3%, cache_read 448 269 670, creation 3 348 420, TTL 1ч/5м=3348420/0. Некэшированный вход за ВСЮ сессию 1 847 (~2 ток/ход). Компактов 0 при максимуме 903 594 — порог 999 944 не достигнут. Прирост 899 ток/ход, медиана 486 370. Цена хода 10 083 -> 92 019 усл.ед. на 25K->900K, рост x9.1. ГЛАВНОЕ: два простоя по 77 минут (23:06 и 00:49) дали creation 746 457 и 805 324 при cache_read, упавшем до 18 351 — то есть 46% всего creation за сессию ушло на пересоздание после двух пауз. Выбросы видны в бакетах 750K (162 005 против 76 593 у соседа) и 800K (136 304 против 80 727)."
2026-08-25,code,opus-5,high,688605200,892826,,8085,1460,warm,999223,,,session-ac3cfbe1,"лог ac3cfbe1: 1460 ходов главного треда, макс контекст 999223, cache_read/creation=651342302/37259981 -> hit 94.6%, кэш 1h/5m=37259981/0, прирост 172 ток/ход, цена хода 0 -> 102548 усл.ед. на контексте 0->975000, падений контекста 2, компакт 1 (auto, 03:43, 1001980->24575 за 168с), субагентских записей 0, ошибок API 18, CLI 2.1.239"
2026-08-25,code,sonnet-5+opus-5,high,257821775,332902,,3341,534,warm,748823,,,session-6ec6fcb3,"лог 6ec6fcb3 (текущая): 534 хода главного треда, СМЕШАННАЯ модель (sonnet-5 x481, opus-5 x53) — переключение владельцем посреди сессии. Макс контекст 748823, cache_read/creation=245483883/12336826 -> hit 95.2%, кэш 1h/5m=12336826/0, прирост 1145 ток/ход, цена хода 13101 -> 251995 усл.ед. на контексте 25000->725000, рост x19.2 (шумный — см. заметку), падений контекста 0, компактов 0, субагентских записей 0, thinking 94781 из 332902 выхода (28%)"
2026-08-25,code,sonnet-5,high,334394414,389246,,3906,629,warm,863564,,,session-6ec6fcb3-final,"лог 6ec6fcb3, ЗАКРЫТИЕ сессии (handoff): 629 ходов главного треда, модель вернулась к чистому sonnet-5 (х576) + ранние opus-5 (х53), эффект переключения из строки session-6ec6fcb3 выше уже размыт большей выборкой. Макс контекст 863564, cache_read/creation=318939176/15453983 -> hit 95.4%, кэш 1h/5m=15453983/0, прирост 1100 ток/ход, цена хода 13101 -> 88163 усл.ед. на контексте 25000->850000, рост x6.7 (нормализовался против x19.2 шумного среза посреди сессии), падений контекста 0, компактов 0, субагентских записей 0, thinking 113976 из 389246 выхода (29%), ошибок API 7"
2026-08-25,code,sonnet-5,high,21509598,61812,,755,130,warm,266498,35,26,session-2d3554c0,"лог 2d3554c0 (текущая): 130 ходов главного треда, макс контекст 266498, cache_read/creation=21051743/457596 -> hit 97.9%, кэш 1h/5m=457596/0, прирост 1615 ток/ход, цена хода 18584 -> 82213 усл.ед. на контексте 25000->250000, рост x4.4, падений контекста 0, компактов 0, субагентских записей 0, thinking 30189 из 61812 выхода (49%). Панели: Status/Stats/Usage через panel_probe.py (Usage: session 35%/week 26%, живой API), Config частично из settings.json+.claude.json (см. hypothesis.md правка ниже), 'What contributing to usage' и 3 тумблера не сняты (нет скриншота)"
2026-08-26,code,sonnet-5,high,374755050,423109,,4117,704,warm,913965,4,32,session-2d3554c0-b,"лог 2d3554c0 (та же сессия, срез позже — предыдущая строка на 130 ходов): 704 хода главного треда, макс контекст 913965, cache_read/creation=373648581/1105063 -> hit 99.7%, кэш 1h/5m=1105063/0, прирост 1174 ток/ход, цена хода 18584 -> 92935 усл.ед. на контексте 25000->900000, рост x5.0, падений контекста 0, компактов 0, thinking 178996 из 423109 выхода (42%). Панели: Usage свежий (session 5h: 4%, похоже на новое окно — reset 04:19 UTC), Status этого среза вернул '?' по всем трём полям (claude auth status --json не отдал данные в этот момент) - расхождение с прежними успешными прогонами, не расследовано глубоко"
2026-08-26,code,sonnet-5,high,394048846,434898,,4266,728,warm,933426,,,session-2d3554c0-c,"лог 2d3554c0 (та же сессия, срез позже — предыдущая строка на 704 хода): 728 ходов главного треда, макс контекст 933426, cache_read/creation=394048846/1158368 -> hit 99.7%, кэш 1h/5m=1158368/0, прирост 1146 ток/ход, цена хода 18584 -> 95147 усл.ед. на контексте 25000->925000, рост x5.1 (стабильно против x5.0 предыдущего среза), падений контекста 1 (объяснено маркером compact_boundary), компакт 1 (auto, 23:50:13, 934435->17861 за 267с, сохранено 8 сообщений), thinking 183872 из 434898 выхода (42%), некэшированный вход за сессию 1454. Панели этого среза не сняты — замер по требованию владельца сделан внутри рабочего потока без вызова panel_probe/token-probe"
2026-08-26,code,sonnet-5,high,747334587,729383,,7835,1394,warm,933426,74,41,session-2d3554c0-d,"лог 2d3554c0 (та же сессия, срез позже — предыдущая строка на 728 ходов): 1394 хода главного треда, макс контекст 933426 (медиана 547792), cache_read/creation=744397021/2934818 -> hit 99.6%, кэш 1h/5m=2934818/0 (дешёвый режим), прирост 299 ток/ход, некэшир. вход за сессию 2748, цена хода 18584 -> 94487 усл.ед. на контексте 25000->925000, рост x5.1 (стабильно против x5.0/x5.1 прежних срезов той же сессии), падений контекста 3 (2 объяснены compact_boundary, 1 разобран отдельно), компактов 2 (23:50:13 934435->17861 за 267с/8 сообщ.; 11:13:47 937901->22939 за 562с/9 сообщ.), thinking 321320 из 729383 выхода (44%), субагентских записей в логе 0 (не значит отсутствие — расход субагента в родителя не попадает). Панели через panel_probe.py: Status ок (email/org/session_id живые), Stats 63 лога/13.87B токенов/оценка $6776.88 (sonnet-5 69.5%, opus-5 30.4%, opus-4-7 0.1%), Usage живой — session(5h) 74% used до сброса 2026-08-26T11:29:59Z, week(7d) 41% used до сброса 2026-09-01T01:59:59Z, extra_usage=False. Config по-прежнему только частично из .claude.json/settings.json (hasCompletedOnboarding=True, defaultMode=auto, model=sonnet, skillOverrides find-skills/notebooklm=off) — конкретные тумблеры Auto-compact/Continue-at-limit/Switch-models по-прежнему не найдены дословно, открытый вопрос не сдвинулся с 25.08.2026"
2026-08-26,code,sonnet-5,high,1060727681,1107636,,11729,2070,warm,933426,69,48,session-2d3554c0-e,"лог 2d3554c0 (та же сессия, срез позже — предыдущая строка на 1394 хода): 2070 ходов главного треда, макс контекст 933426 (медиана 507830), cache_read/creation=1056375973/4347613 -> hit 99.6%, кэш 1h/5m=4347613/0 (дешёвый режим), прирост 81 ток/ход, некэшир. вход за сессию 4095, цена хода 18584 -> 94487 усл.ед. на контексте 25000->925000, рост x5.1 (устойчиво четвёртый замер подряд той же сессии), падений контекста 3 (все объяснены — 2 маркером compact_boundary, 1 разобран в PIT-147), компактов 2 (те же, что в срезе -d), thinking 490523 из 1107636 выхода (44%, устойчиво), субагентских записей в логе 0. Панели через panel_probe.py: Status ок, Stats 63 лога/14.45B токенов/оценка $6972.39 (sonnet-5 70.7%, opus-5 29.2%, opus-4-7 0.1%), Usage живой — session(5h) 69% used до сброса 2026-08-26T16:29:59Z, week(7d) 48% used до сброса 2026-09-01T01:59:59Z, extra_usage=False. Config не сдвинулся с прошлого среза. Инструмент предупредил о двух соседних свежих логах (c9e2d02b, 36538d6c) — не сверялись, не тот же session_id."
2026-08-26,code,sonnet-5,high,1077711454,1118443,,11849,2090,warm,933426,70,48,session-2d3554c0-f,"лог 2d3554c0 (та же сессия, срез позже — предыдущая строка на 2070 ходов): 2090 ходов главного треда, макс контекст 933426 (медиана 510380), cache_read/creation=1073343504/4363815 -> hit 99.6%, кэш 1h/5m=4363815/0, прирост 88 ток/ход, некэшир. вход за сессию 4135, цена хода 18584 -> 94487 усл.ед. на контексте 25000->925000, рост x5.1 (шестой замер подряд без изменений, форма плато окончательно устойчива), падений контекста 3 (без изменений), компактов 2 (без изменений). Панели: Usage session(5h) 70% (было 69%, то же окно), week(7d) 48% (без изменений). Прирост между срезами -e и -f минимален (20 ходов) — интервал между вызовами /tokens короче обычного, числа почти не сдвинулись."
2026-08-26,code,sonnet-5,high,1133699472,1141858,,12212,2153,warm,933426,74,49,session-2d3554c0-g,"лог 2d3554c0, срез позже — предыдущая строка на 2090 ходов: 2153 хода, макс контекст 933426, cache_read/creation=1129277622/4417591 -> hit 99.6%, форма х5.1 седьмой замер подряд без изменений. Usage session(5h) 74%, week(7d) 49%."
2026-08-27,code,sonnet-5,high,278632033,361969,,3684,507,warm,890989,83,60,auto-revision-images-2026-08-27,"лог fab14d53-b94d-4f6b-bacc-cc45e9621d3c (новая сессия, авто-режим): 507 ходов главного треда, задвоение лога ×2.28 (1154 записей→507 реплик, 647 повторных строк отброшено), макс контекст 890989 (медиана 646380), cache_read/creation=256795207/21835814 -> hit 92.2%, кэш 1h/5m=21835814/0 (дешёвый режим), прирост 1710 ток/ход, некэшир. вход за сессию 1012, thinking 111715 из 361969 выхода (31%), цена хода по бакетам 25000->875000: 29074 -> 95782 усл.ед. (рост ×3.3 на этом диапазоне — не совпадает с ×5.1 плато прежней сессии 2d3554c0, требует отдельной проверки), падений контекста 0, маркеров compact_boundary 0, ошибок API 9, субагентских записей (isSidechain) 0 — не значит отсутствие. Панели через panel_probe.py (⚠ ОШИБКА ВАХТЫ: не запущен вовремя, снят позже по прямому напоминанию владельца — panel_probe.py существовал и был настроен весь заход): Status ок (email/org/session_id живые, subscriptionType=pro), Stats 69 логов/15.79B токенов/оценка $7731.75 (sonnet-5 73.2%, opus-5 26.7%, opus-4-7 0.1%), Usage — session(5h) 83% used до сброса 2026-08-27T12:30:00Z, week(7d) 60% used до сброса 2026-09-01T02:00:00Z, extra_usage=False. Config — не проверялся (известное ограничение panel_probe.py, не пропуск вахты)."
2026-08-27,code,sonnet-5,high,301747811,386422,,3966,552,warm,934174,91,60,handoff-close-2026-08-27,"лог fab14d53-b94d-4f6b-bacc-cc45e9621d3c.jsonl (финальный срез перед /handoff, вся сессия): 552 хода главного треда, задвоение ×2.25 (1242→552), макс контекст 934174 (медиана 648986), cache_read/creation=279793919/21952790 -> hit 92.7%, кэш 1h/5m=21952790/0 (дешёвый режим), прирост 1281 ток/ход, некэшир. вход за сессию 1102, thinking 118843 из 386422 выхода (31%), цена хода по бакетам 25000->925000: 29074 -> 96231 усл.ед. (рост x3.3 — ВТОРОЙ замер подряд в этой же сессии с тем же множителем, отличным от плато x5.1 сессии 2d3554c0; кандидат-объяснение — батч-профиль авто-режима с частыми вызовами инструментов, см. hypothesis.md), падений контекста 1 (auto-compact на ходу 531, маркер compact_boundary есть, 935557->26979), ошибок API 9, isSidechain=0. Панели panel_probe.py: Status ок (subscriptionType=pro), Stats 69 логов/15.82B ток./оценка \$7743.04, Usage session(5h)=91% used (сброс 2026-08-27T12:30:00Z), week(7d)=60% used (сброс 2026-09-01T02:00:00Z), extra_usage=False, Config не проверялся (известное ограничение)."
